*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
  -- 31May2019,17:52:59  --   NSE  MARKET ORDER  status  Status:open   BUY   TCS-EQ   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at Market Price   0.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000037   RequestId:1        ExchangeOrderNo: 1100000000000019   
  -- 31May2019,17:52:59  --   NSE  LIMIT ORDER  market response  Status:open   BUY   TCS-EQ   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at 2137.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000037   RequestId:1        ExchangeOrderNo: 1100000000000019   
  -- 31May2019,17:53:24  --   NSE  LIMIT ORDER  modify  Status:open   BUY   TCS-EQ   Total QTY:3    Disc. QTY:2    Open QTY:3    Filled QTY:0    at 2137.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000037   RequestId:2        ExchangeOrderNo: 1100000000000019   
  -- 31May2019,17:53:34  --   NSE  LIMIT ORDER  cancel  Status:cancelled   BUY   TCS-EQ   Total QTY:3    Disc. QTY:2    Open QTY:3    Filled QTY:0    at 2137.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000037   RequestId:3        ExchangeOrderNo: 1100000000000019   
  -- 31May2019,17:53:47  --   NSE  MARKET ORDER  status  Status:open   BUY   TCS-EQ   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at Market Price   0.00    DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000041   RequestId:1        ExchangeOrderNo: 1100000000000020   
  -- 31May2019,17:53:47  --   NSE  LIMIT ORDER  market response  Status:open   BUY   TCS-EQ   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at 2137.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000041   RequestId:1        ExchangeOrderNo: 1100000000000020   
  -- 31May2019,17:54:29  --   BSE  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   not logged   SELL   CIPLA   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at 530.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000044   RequestId:1        ExchangeOrderNo: NA   
  -- 31May2019,17:55:55  --   NFO  LIMIT ORDER  status  Status:open   SELL   BANKNIFTY19JUNFUT   Total QTY:20    Disc. QTY:0    Open QTY:20    Filled QTY:0    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000047   RequestId:1        ExchangeOrderNo: 1000000000000007   
  -- 31May2019,17:56:37  --   NFO  LIMIT ORDER  modify  Status:open   SELL   BANKNIFTY19JUNFUT   Total QTY:40    Disc. QTY:0    Open QTY:40    Filled QTY:0    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000047   RequestId:2        ExchangeOrderNo: 1000000000000007   
  -- 31May2019,17:56:49  --   NSE  LIMIT ORDER  cancel  Status:cancelled   BUY   TCS-EQ   Total QTY:2    Disc. QTY:1    Open QTY:2    Filled QTY:0    at 2137.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000041   RequestId:2        ExchangeOrderNo: 1100000000000020   
  -- 31May2019,17:56:53  --   NFO  LIMIT ORDER  cancel  Status:cancelled   SELL   BANKNIFTY19JUNFUT   Total QTY:40    Disc. QTY:0    Open QTY:40    Filled QTY:0    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000047   RequestId:3        ExchangeOrderNo: 1000000000000007   
  -- 31May2019,17:57:20  --   NFO  LIMIT ORDER  status  Status:open   SELL   BANKNIFTY19JUNFUT   Total QTY:20    Disc. QTY:0    Open QTY:20    Filled QTY:0    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000051   RequestId:1        ExchangeOrderNo: 1000000000000008   
  -- 31May2019,17:57:41  --   NFO  LIMIT ORDER  status  Status:open   SELL   BANKNIFTY19JUNFUT   Total QTY:40    Disc. QTY:0    Open QTY:40    Filled QTY:0    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000053   RequestId:1        ExchangeOrderNo: 1000000000000009   
  -- 31May2019,17:58:38  --   NFO  LIMIT ORDER  fill  Status:complete   SELL   BANKNIFTY19JUNFUT   Total QTY:20    Disc. QTY:0    Open QTY:0    Filled QTY:20    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000051   RequestId:1        ExchangeOrderNo: 1000000000000008   
31-May-2019,17:57:39  -- 31-May-2019 17:58:38  -- Trade confirmed:   LIMIT TradeQty:20 /20 of  BANKNIFTY19JUNFUTat  31500.00for CLI for  C26969 by C26969  NESTOrderNo: 190531000000051 Exchange:NFO ExchangeOrderNo:  1000000000000008 Trade Id: 1 ExchTimeStamp: 31-May-2019 17:58:58
  -- 31May2019,17:58:38  --   NFO  LIMIT ORDER  fill  Status:complete   SELL   BANKNIFTY19JUNFUT   Total QTY:40    Disc. QTY:0    Open QTY:0    Filled QTY:40    at 31500.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000053   RequestId:1        ExchangeOrderNo: 1000000000000009   
31-May-2019,17:58:00  -- 31-May-2019 17:58:38  -- Trade confirmed:   LIMIT TradeQty:40 /40 of  BANKNIFTY19JUNFUTat  31500.00for CLI for  C26969 by C26969  NESTOrderNo: 190531000000053 Exchange:NFO ExchangeOrderNo:  1000000000000009 Trade Id: 2 ExchTimeStamp: 31-May-2019 17:58:58
  -- 31May2019,18:08:08  --   NSE  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   RMS:Client not enabled on product   BUY   TCS-EQ   Total QTY:100    Disc. QTY:50    Open QTY:100    Filled QTY:0    at 2150.00 DAY  for CLI for C26969 by C26969    NESTOrderNo:190531000000090   RequestId:1        ExchangeOrderNo: NA   
31May2019,18:09:32  --   NFO  ORDER:  SPREAD ReportType:reject  Status:rejected   Rejection Reason:   16556 : Quantity less than the minimum lot size   NESTOrderNo:190531000000093   DAY    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000021          FIRST  LEG  OF  SPREAD  ORDER : BUY   Total QTY:2    Open QTY:2    Filled QTY:0    Disc. QTY:0    of   TCS19JUNFUT    at   0.00      ExchangeOrderNo: 1000000000000021          SECOND  LEG  OF  SPREAD  ORDER : SELL   Total QTY:2    Open QTY:2    Filled QTY:0    Disc. QTY:0    of   TCS19JULFUT    at   0.00    
31May2019,18:10:55  --   NFO  ORDER:  SPREAD ReportType:status  Status:open   NESTOrderNo:190531000000096   DAY    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000023          FIRST  LEG  OF  SPREAD  ORDER : BUY   Total QTY:250    Open QTY:250    Filled QTY:0    Disc. QTY:0    of   TCS19JUNFUT    at   0.00      ExchangeOrderNo: 1000000000000023          SECOND  LEG  OF  SPREAD  ORDER : SELL   Total QTY:250    Open QTY:250    Filled QTY:0    Disc. QTY:0    of   TCS19JULFUT    at   0.00    
31May2019,18:11:29  --   NFO  ORDER:  SPREAD ReportType:modify  Status:open   NESTOrderNo:190531000000096   DAY    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000023          FIRST  LEG  OF  SPREAD  ORDER : BUY   Total QTY:500    Open QTY:500    Filled QTY:0    Disc. QTY:0    of   TCS19JUNFUT    at   0.00      ExchangeOrderNo: 1000000000000023          SECOND  LEG  OF  SPREAD  ORDER : SELL   Total QTY:500    Open QTY:500    Filled QTY:0    Disc. QTY:0    of   TCS19JULFUT    at   0.00    
31May2019,18:11:43  --   NFO  ORDER:  SPREAD ReportType:cancel  Status:cancelled   NESTOrderNo:190531000000096   DAY    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000023          FIRST  LEG  OF  SPREAD  ORDER : BUY   Total QTY:500    Open QTY:500    Filled QTY:0    Disc. QTY:0    of   TCS19JUNFUT    at   0.00      ExchangeOrderNo: 1000000000000023          SECOND  LEG  OF  SPREAD  ORDER : SELL   Total QTY:500    Open QTY:500    Filled QTY:0    Disc. QTY:0    of   TCS19JULFUT    at   0.00    
31May2019,18:13:05  --   NFO  ORDER:  2L ReportType:status  Status:open   NESTOrderNo:190531000000101   IOC    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000027          FIRST  LEG  OF  2L  ORDER : BUY   Total QTY:250    Open QTY:250    Filled QTY:0    of   TCS19JUNFUT    at   2150.00      ExchangeOrderNo: 1000000000000027          SECOND  LEG  OF  2L  ORDER : SELL   Total QTY:250    Open QTY:250    Filled QTY:0    of   TCS19JULFUT    at   2200.00    
31May2019,18:13:05  --   NFO  ORDER:  2L ReportType:exch cancel  Status:cancelled   Reason:   16388 : Order Cancelled By System   NESTOrderNo:190531000000101   IOC    for  C26969  by  C26969  ExchangeOrderNo: 1000000000000027          FIRST  LEG  OF  2L  ORDER : BUY   Total QTY:250    Open QTY:250    Filled QTY:0    of   TCS19JUNFUT    at   2150.00      ExchangeOrderNo: 1000000000000027          SECOND  LEG  OF  2L  ORDER : SELL   Total QTY:250    Open QTY:250    Filled QTY:0    of   TCS19JULFUT    at   2200.00    
