*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*- Log Messages From NEST Server Finished *-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-
  -- 20Jul2019,09:32:12  --   NSE  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   RMS:Margin Exceeds,Required:143.90, Available:0.00 for entity account-N62861 across exchange across segment across product Check CAC amount used    BUY   ONGC-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 143.90 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000001   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,09:32:56  --   NSE  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   RMS: Auto Square Off Block   BUY   ONGC-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 143.90 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000002   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,09:33:04  --   NSE  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   RMS:Margin Exceeds,Required:17.99, Available:0.00 for entity account-N62861 across exchange across segment across product    BUY   ONGC-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 143.90 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000003   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,09:33:49  --   NSE  LIMIT ORDER  failure  Status:rejected   Rejection Reason:   RMS: Auto Square Off Block   SELL   ONGC-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 143.90 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000004   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,10:21:55  --   NSE  MARKET ORDER  status  Status:open   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000014   RequestId:1        ExchangeOrderNo: 1300000000009143   
  -- 20Jul2019,10:21:55  --   NSE  LIMIT ORDER  market response  Status:open   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 2284.60 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000014   RequestId:1        ExchangeOrderNo: 1300000000009143   
  -- 20Jul2019,10:22:17  --   NSE  LIMIT ORDER  fill  Status:complete   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 2284.60 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000014   RequestId:1        ExchangeOrderNo: 1300000000009143   
20-Jul-2019,10:21:59  -- 20-Jul-2019 10:22:17  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  TCS-EQat  2284.60for CLI for  N62861 by N62861  NESTOrderNo: 190720000000014 Exchange:NSE ExchangeOrderNo:  1300000000009143 Trade Id: 75009813 ExchTimeStamp: 20-Jul-2019 10:22:20
  -- 20Jul2019,10:22:46  --   NSE  MARKET ORDER  status  Status:open   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000016   RequestId:1        ExchangeOrderNo: 1300000000010760   
  -- 20Jul2019,10:22:46  --   NSE  LIMIT ORDER  market response  Status:open   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 2284.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000016   RequestId:1        ExchangeOrderNo: 1300000000010760   
  -- 20Jul2019,10:22:51  --   NSE  LIMIT ORDER  fill  Status:complete   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 2284.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000016   RequestId:1        ExchangeOrderNo: 1300000000010760   
20-Jul-2019,10:22:50  -- 20-Jul-2019 10:22:51  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  TCS-EQat  2284.00for CLI for  N62861 by N62861  NESTOrderNo: 190720000000016 Exchange:NSE ExchangeOrderNo:  1300000000010760 Trade Id: 75010551 ExchTimeStamp: 20-Jul-2019 10:22:55
  -- 20Jul2019,10:23:02  --   NSE  SL-M ORDER  sl status  Status:trigger pending   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    Trigger Price   2250.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000017   RequestId:1        ExchangeOrderNo: 1300000000010992   
  -- 20Jul2019,10:23:06  --   NSE  LIMIT ORDER  trigger  Status:open   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000017   RequestId:1        ExchangeOrderNo: 1300000000010992   
  -- 20Jul2019,10:23:06  --   NSE  LIMIT ORDER  market response  Status:open   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 2284.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000017   RequestId:1        ExchangeOrderNo: 1300000000010992   
  -- 20Jul2019,10:23:07  --   NSE  LIMIT ORDER  fill  Status:complete   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 2284.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000017   RequestId:1        ExchangeOrderNo: 1300000000010992   
20-Jul-2019,10:23:10  -- 20-Jul-2019 10:23:07  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  TCS-EQat  2284.00for CLI for  N62861 by N62861  NESTOrderNo: 190720000000017 Exchange:NSE ExchangeOrderNo:  1300000000010992 Trade Id: 75010923 ExchTimeStamp: 20-Jul-2019 10:23:10
  -- 20Jul2019,10:23:22  --   NSE  SL ORDER  sl status  Status:trigger pending   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 2250.00 Trigger Price   2240.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000019   RequestId:1        ExchangeOrderNo: 1300000000011376   
  -- 20Jul2019,10:23:26  --   NSE  LIMIT ORDER  trigger  Status:open   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 2250.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000019   RequestId:1        ExchangeOrderNo: 1300000000011376   
  -- 20Jul2019,10:23:27  --   NSE  LIMIT ORDER  fill  Status:complete   BUY   TCS-EQ   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 2250.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000019   RequestId:1        ExchangeOrderNo: 1300000000011376   
20-Jul-2019,10:23:30  -- 20-Jul-2019 10:23:27  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  TCS-EQat  2250.00for CLI for  N62861 by N62861  NESTOrderNo: 190720000000019 Exchange:NSE ExchangeOrderNo:  1300000000011376 Trade Id: 75011321 ExchTimeStamp: 20-Jul-2019 10:23:30
  -- 20Jul2019,10:23:47  --   NSE  LIMIT ORDER  status  Status:open   SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 1365.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000021   RequestId:1        ExchangeOrderNo: 1300000000011857   
  -- 20Jul2019,10:23:47  --   NSE  LIMIT ORDER  fill  Status:complete   SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 1365.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000021   RequestId:1        ExchangeOrderNo: 1300000000011857   
20-Jul-2019,10:23:51  -- 20-Jul-2019 10:23:47  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  RELIANCE-EQat  1365.00for CLI for  N62861 by N62861  NESTOrderNo: 190720000000021 Exchange:NSE ExchangeOrderNo:  1300000000011857 Trade Id: 75011807 ExchTimeStamp: 20-Jul-2019 10:23:51
  -- 20Jul2019,10:23:52  --   NSE  MARKET ORDER  failure  Status:rejected   Rejection Reason:   RMS:Rule: Check T1 holdings including TT/BE/Z/T/TS ,No Holdings Present  for entity account-N62861 across exchange across segment across product    SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000022   RequestId:1        ExchangeOrderNo: NA   
  -- 20Jul2019,10:24:05  --   NSE  SL-M ORDER  sl status  Status:trigger pending   SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    Trigger Price   1350.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000023   RequestId:1        ExchangeOrderNo: 1300000000012010   
  -- 20Jul2019,10:24:15  --   NSE  SL ORDER  sl status  Status:trigger pending   SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 1360.00 Trigger Price   1370.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000024   RequestId:1        ExchangeOrderNo: 1300000000012172   
  -- 20Jul2019,10:24:15  --   NSE  LIMIT ORDER  trigger  Status:open   SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 1360.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000024   RequestId:1        ExchangeOrderNo: 1300000000012172   
  -- 20Jul2019,10:24:15  --   NSE  LIMIT ORDER  fill  Status:complete   SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 1360.00 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000024   RequestId:1        ExchangeOrderNo: 1300000000012172   
20-Jul-2019,10:24:20  -- 20-Jul-2019 10:24:15  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  RELIANCE-EQat  1360.00for CLI for  N62861 by N62861  NESTOrderNo: 190720000000024 Exchange:NSE ExchangeOrderNo:  1300000000012172 Trade Id: 75012309 ExchTimeStamp: 20-Jul-2019 10:24:19
  -- 20Jul2019,10:24:17  --   NSE  LIMIT ORDER  trigger  Status:open   SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000023   RequestId:1        ExchangeOrderNo: 1300000000012010   
  -- 20Jul2019,10:24:17  --   NSE  LIMIT ORDER  fill  Status:complete   SELL   RELIANCE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000023   RequestId:1        ExchangeOrderNo: 1300000000012010   
20-Jul-2019,10:24:20  -- 20-Jul-2019 10:24:17  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  RELIANCE-EQat  1350.00for CLI for  N62861 by N62861  NESTOrderNo: 190720000000023 Exchange:NSE ExchangeOrderNo:  1300000000012010 Trade Id: 75012347 ExchTimeStamp: 20-Jul-2019 10:24:20
  -- 20Jul2019,10:24:42  --   NSE  LIMIT ORDER  status  Status:open   BUY   RELIGARE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at 34.20 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000026   RequestId:1        ExchangeOrderNo: 1300000000012605   
  -- 20Jul2019,10:24:42  --   NSE  LIMIT ORDER  fill  Status:complete   BUY   RELIGARE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:0    Filled QTY:1    at 34.20 DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000026   RequestId:1        ExchangeOrderNo: 1300000000012605   
20-Jul-2019,10:24:46  -- 20-Jul-2019 10:24:42  -- Trade confirmed:   LIMIT TradeQty:1 /1 of  RELIGARE-EQat  34.20for CLI for  N62861 by N62861  NESTOrderNo: 190720000000026 Exchange:NSE ExchangeOrderNo:  1300000000012605 Trade Id: 75012895 ExchTimeStamp: 20-Jul-2019 10:24:46
  -- 20Jul2019,10:24:49  --   NSE  MARKET ORDER  failure  Status:rejected   Rejection Reason:   RMS:Rule: Assigned basket  for entity account-N62861 across exchange across segment across product    BUY   RELIGARE-EQ   Total QTY:1    Disc. QTY:0    Open QTY:1    Filled QTY:0    at Market Price   0.00    DAY  for CLI for N62861 by N62861    NESTOrderNo:190720000000027   RequestId:1        ExchangeOrderNo: NA   
