Parent Cl Code,Child Cl Code,Market,Inst Type,Product,Symbol Name,Expiry,Opt Type,Strike,Buy Qty (Day),Buy Lots (Day),Buy Price (Day),Buy Amount (Day),Sell Qty (Day),Sell Lots (Day),Sell Price (Day),Sell Amount (Day),Ltp,M2M P/L (Day),Booked P/L (Day),Net P/L (Day),Net Qty (Day),Net Lots (Day),Net Price (Day),Net Value (Day),
N62861,N62861,NSECM,Common Stock,NRML,TCS-EQ,,,,3,3,2272.8667,6818.6000,0,0,0.0000,0.0000,1980.00,-878.6000,0.0000,-878.6000,3,3,2272.8667,6818.6000,
N62861,N62861,NSECM,Common Stock,MARGIN,TCS-EQ,,,,1,1,2284.0000,2284.0000,0,0,0.0000,0.0000,1980.00,-304.0000,0.0000,-304.0000,1,1,2284.0000,2284.0000,
N62861,N62861,NSECM,Common Stock,MARGIN,RELIANCE-EQ,,,,17,17,1296.8000,22045.6000,12,12,1334.9858,16019.8300,1189.00,-539.0000,458.2300,-80.7700,5,5,1205.1540,6025.7700,
N62861,N62861,NSECM,Common Stock,NRML,RELIANCE-EQ,,,,11,11,1305.8000,14363.8000,11,11,1338.5455,14724.0000,1189.00,0.0000,360.2000,360.2000,0,0,0.0000,360.2000,
N62861,N62861,NSECM,Common Stock,NRML,RELIGARE-EQ,,,,1,1,34.2000,34.2000,0,0,0.0000,0.0000,34.00,-0.2000,0.0000,-0.2000,1,1,34.2000,34.2000,
N62861,N62861,NSECDS,Future,MIS,USDINR19AUGFUT,28/08/2019,,,1000,1,68.7225,68722.5000,0,0,0.0000,0.0000,69.9000,1177.5000,0.0000,1177.5000,1000,1,68.7225,68722.5000,
N62861,N62861,NSECM,Common Stock,MIS,RELINFRA-EQ,,,,10,10,42.0000,420.0000,10,10,45.0000,450.0000,49.00,0.0000,30.0000,30.0000,0,0,0.0000,30.0000,
N62861,N62861,NSECM,Common Stock,CNC,RELIGARE-EQ,,,,9,9,34.2000,307.8000,0,0,0.0000,0.0000,34.00,-1.8000,0.0000,-1.8000,9,9,34.2000,307.8000,
N62861,N62861,NSECM,Common Stock,MIS,TCS-EQ,,,,40,40,2228.4237,89136.9500,40,40,2080.6250,83225.0000,1980.00,0.0000,-5911.9500,-5911.9500,0,0,0.0000,5911.9500,
N62861,N62861,NSECM,Common Stock,MIS,RELIANCE-EQ,,,,40,40,1299.2500,51970.0000,40,40,1322.2168,52888.6700,1189.00,0.0000,918.6700,918.6700,0,0,0.0000,918.6700,
N62861,N62861,NSECM,Common Stock,MIS,HDFC-EQ,,,,35,35,2499.9800,87499.3000,35,35,2156.4429,75475.5000,2190.00,0.0000,-12023.8000,-12023.8000,0,0,0.0000,12023.8000,
N62861,N62861,NSECM,Common Stock,NRML,HDFC-EQ,,,,20,20,2533.9000,50678.0000,20,20,2157.5500,43151.0000,2190.00,0.0000,-7527.0000,-7527.0000,0,0,0.0000,7527.0000,
N62861,N62861,NSECM,Common Stock,MARGIN,HDFC-EQ,,,,10,10,2533.9000,25339.0000,10,10,2175.0000,21750.0000,2190.00,0.0000,-3589.0000,-3589.0000,0,0,0.0000,3589.0000,
N62861,N62861,NSECDS,Option,MIS,USDINR19JUL67.5CE,29/07/2019,Call,67.5000,2000,2,1.2525,2505.0000,2000,2,1.2000,2400.0000,1.2500,0.0000,-105.0000,-105.0000,0,0,0.0000,105.0000,
N62861,N62861,NSEFO,Future,MIS,NIFTY19AUGFUT,29/08/2019,,,750,10,12381.7900,9286342.5000,750,10,12119.3200,9089490.0000,12400.00,0.0000,-196852.5000,-196852.5000,0,0,0.0000,196852.5000,
N62861,N62861,NSEFO,Option,NRML,TCS19AUG2300CE,29/08/2019,Call,2300.00,250,1,10.0000,2500.0000,0,0,0.0000,0.0000,10.00,0.0000,0.0000,0.0000,250,1,10.0000,2500.0000,
N62861,N62861,NSEFO,Future,NRML,NIFTY19AUGFUT,29/08/2019,,,750,10,12389.1000,9291825.0000,750,10,12005.0000,9003750.0000,12400.00,0.0000,-288075.0000,-288075.0000,0,0,0.0000,288075.0000,
N62861,N62861,NSEFO,Future,NRML,BANKNIFTY19AUGFUT,29/08/2019,,,780,39,31017.2051,24193420.0000,700,35,29275.4829,20492838.0000,28500.00,-201376.4103,-1219205.5897,-1420582.0000,80,4,46257.2750,3700582.0000,
N62861,N62861,NSEFO,Future,NRML,RELIANCE19AUGFUT,29/08/2019,,,5500,11,1362.1788,7491983.3300,10500,21,1138.9071,11958525.0000,1311.05,-860714.2857,-1227994.0443,-2088708.3300,-5000,-10,893.3083,4466541.6700,
N62861,N62861,NSEFO,Future,MARGIN,RELIANCE19AUGFUT,29/08/2019,,,1000,2,1379.9667,1379966.6700,0,0,0.0000,0.0000,1311.05,-68916.6700,0.0000,-68916.6700,1000,2,1379.9667,1379966.6700,
N62861,N62861,NSEFO,Future,NRML,BANKNIFTY19JULFUT,25/07/2019,,,80,4,27650.0000,2212000.0000,0,0,0.0000,0.0000,27000.00,-52000.0000,0.0000,-52000.0000,80,4,27650.0000,2212000.0000,
N62861,N62861,BSECM,Common Stock,NRML,TATASTEEL,,,,20,20,457.2000,9144.0000,0,0,0.0000,0.0000,457.00,-4.0000,0.0000,-4.0000,20,20,457.2000,9144.0000,
N62861,N62861,BSECM,Common Stock,NRML,IOC,,,,70,70,157.6143,11033.0000,30,30,154.0000,4620.0000,153.50,-164.5714,-108.4286,-273.0000,40,40,160.3250,6413.0000,
N62861,N62861,BSECM,Common Stock,NRML,TATAPOWER,,,,5,5,66.4500,332.2500,0,0,0.0000,0.0000,66.00,-2.2500,0.0000,-2.2500,5,5,66.4500,332.2500,
