Strike,Opt Type,Parent Cl Code,Child Cl Code,Market,Inst Type,Symbol Name,Expiry,Buy Qty (Day),Buy Lots (Day),Buy Price (Day),Buy Amount (Day),Sell Qty (Day),Sell Lots (Day),Sell Price (Day),Sell Amount (Day),Ltp,M2M P/L (Day),Booked P/L (Day),Net P/L (Day),Net Qty (Day),Net Lots (Day),Net Price (Day),Net Value (Day),Product,
,,V69210,V69210,NSECM,Common Stock,TATACHEM-EQ,,1,1,615.0000,615.0000,0,0,0.0000,0.0000,610.00,-5.0000,0.0000,-5.0000,1,1,615.0000,615.0000,MARGIN,
,,V69210,V69210,NCDEX,Future,DHANIYA20SEP2019,20/09/2019,0,0,0.0000,0.0000,10,1,6442.0000,644200.0000,6459.00,-1700.0000,0.0000,-1700.0000,-10,-1,6442.0000,644200.0000,MIS,
,,V69210,V69210,NCDEX,Future,COTTON18OCT2019,18/10/2019,10,10,21008.0000,21008000.0000,1,1,21010.0000,2101000.0000,20980.00,-25200.0000,200.0000,-25000.0000,9,9,21007.7778,18907000.0000,NRML,
,,V69210,V69210,NCDEX,Future,KAPAS29NOV2019,29/11/2019,1,1,1140.5000,228100.0000,1,1,1138.5000,227700.0000,1139.00,0.0000,-400.0000,-400.0000,0,0,0.0000,400.0000,MIS,
,,V69210,V69210,NCDEX,Future,BARLEYJPR20AUG2019,20/08/2019,10,1,1825.0000,182500.0000,10,1,1825.0000,182500.0000,1839.00,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,MIS,
,,V69210,V69210,NCDEX,Future,PADYPB112120AUG2019,20/08/2019,10,1,3680.0000,368000.0000,0,0,0.0000,0.0000,3680.00,0.0000,0.0000,0.0000,10,1,3680.0000,368000.0000,MIS,
,,V69210,V69210,NCDEX,Future,DHANIYA20AUG2019,20/08/2019,20,2,6409.0000,1281800.0000,0,0,0.0000,0.0000,6397.00,-2400.0000,0.0000,-2400.0000,20,2,6409.0000,1281800.0000,MARGIN,
,,V69210,V69210,BSECM,Common Stock,TATACOMM,,17,17,467.0000,7939.0000,0,0,0.0000,0.0000,466.00,-17.0000,0.0000,-17.0000,17,17,467.0000,7939.0000,MIS,
,,V69210,V69210,NSEFO,Future,BANKNIFTY19AUGFUT,29/08/2019,20,1,29829.9500,596599.0000,0,0,0.0000,0.0000,30714.00,17681.0000,0.0000,17681.0000,20,1,29829.9500,596599.0000,NRML,
,,V69210,V69210,NSECDS,Future,USDINR19SEPFUT,26/09/2019,2000,2,71.0012,142002.5000,0,0,0.0000,0.0000,70.2000,-1602.5000,0.0000,-1602.5000,2000,2,71.0012,142002.5000,MARGIN,
,,V69210,V69210,NCDEX,Future,RMSEED20AUG2019,20/08/2019,0,0,0.0000,0.0000,10,1,3911.0000,391100.0000,3929.00,-1800.0000,0.0000,-1800.0000,-10,-1,3911.0000,391100.0000,MIS,
,,V69210,V69210,NCDEX,Future,CPO30SEP2019,30/09/2019,0,0,0.0000,0.0000,10,1,518.5000,518500.0000,520.30,-1800.0000,0.0000,-1800.0000,-10,-1,518.5000,518500.0000,MIS,
,,V69210,V69210,BSECM,Common Stock,TATACOMM,,1,1,467.0000,467.0000,0,0,0.0000,0.0000,466.00,-1.0000,0.0000,-1.0000,1,1,467.0000,467.0000,CNC,
,,V69210,V69210,NCDEX,Future,SYOREF18OCT2019,18/10/2019,0,0,0.0000,0.0000,10,1,726.6000,726600.0000,726.60,0.0000,0.0000,0.0000,-10,-1,726.6000,726600.0000,MIS,
